Model,Best Params,Accuracy,Specificity,Precision,Recall,F1-score,Confusion Matrix
XGBoost,"{'max_depth': 10, 'n_estimators': 200}",0.9847258441426491,0.6027874564459931,0.9841374444776926,0.9847258441426491,0.9831104643205386,"[[142266, 203], [2052, 3114]]"
XGBoost,"{'learning_rate': 0.5, 'max_depth': 10, 'min_child_weight': 1, 'n_estimators': 200}",0.9850577437599485,0.626984126984127,0.984321729628092,0.9850577437599485,0.9836828780577477,"[[142190, 279], [1927, 3239]]"
XGBoost,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 10, 'min_child_weight': 1, 'n_estimators': 200}",0.9850577437599485,0.626984126984127,0.984321729628092,0.9850577437599485,0.9836828780577477,"[[142190, 279], [1927, 3239]]"
