Set,Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,ROC_AUC,PR_AUC
Training,AdaBoost,0.9450114941163988,0.844114163950526,0.9681206079372939,0.692768616058376,0.807451656698033,0.9954597118426759,0.9472416406983395,0.8890757630032097
Validation,AdaBoost,0.9438592294743827,0.8406540488947453,0.9648117598522209,0.6858470887607473,0.7806060760836694,0.9954610090287432,0.9456798205540377,0.8793658204408489
Test,AdaBoost,0.968733701358079,0.6202056665466849,0.6384692849949648,0.2454510259388308,0.354586129753915,0.9949603071545389,0.8324283589352377,0.36495393812724364
