Set,Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,ROC_AUC,PR_AUC
Training,XGBoost,0.9935242649450939,0.9900859220250388,0.9764246569932551,0.9849284230770774,0.9806579121558293,0.9952434209730001,0.9996163444437138,0.9983199880267108
Validation,XGBoost,0.9757569615490475,0.9498948968233473,0.9412471106637972,0.9111021722720075,0.9182572345919319,0.988687621374687,0.9866605493721543,0.9678078937074899
Test,XGBoost,0.9735834998475971,0.770282940048926,0.6427604871447903,0.5516840882694541,0.59375,0.9888817918283977,0.9181587973439824,0.6293945738753792
