Model,Best Parameters,Accuracy,Specificity,Precision,Recall,F1,Precision_weighted,Recall_weighted,F1_weighted,Balanced_Accuracy,ROC_AUC,PR_AUC,Confusion Matrix
XGBoost,"{""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 15, ""min_child_weight"": 1, ""n_estimators"": 1000, ""scale_pos_weight"": 28, ""subsample"": 0.8}",0.964662850949978,0.9783321283928433,0.49583537481626655,0.5876887340301974,0.5378687217645496,0.9678333799133164,0.964662850949978,0.9661011231640715,0.7830104312115204,0.9111302896419436,0.6094871082984004,"[[139382, 3087], [2130, 3036]]"
XGBoost,"{""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 15, ""min_child_weight"": 1, ""n_estimators"": 1000, ""scale_pos_weight"": 10, ""subsample"": 0.8}",0.9709147559860467,0.9853301419958026,0.5863024544734758,0.5733643050716222,0.5797612057154042,0.9706072452563493,0.9709147559860467,0.9707583231080776,0.7793472235337124,0.9165694764490839,0.6268680331316024,"[[140379, 2090], [2204, 2962]]"
XGBoost,"{""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 15, ""min_child_weight"": 1, ""n_estimators"": 1000, ""scale_pos_weight"": 3, ""subsample"": 0.8}",0.97753920140888,0.9941811902940288,0.7636830102622577,0.5185830429732868,0.6177080931519483,0.9750790546985405,0.97753920140888,0.9754575255393981,0.7563821166336578,0.9220875517154091,0.6476836505853653,"[[141640, 829], [2487, 2679]]"
XGBoost,"{""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 15, ""min_child_weight"": 1, ""n_estimators"": 1000, ""scale_pos_weight"": 4, ""subsample"": 0.8}",0.9761845090933722,0.9921807551116383,0.7127385250128933,0.535036778939218,0.611233967271119,0.9738241480153331,0.9761845090933722,0.974542253330908,0.7636087670254281,0.9203188389412298,0.6434191363197626,"[[141355, 1114], [2402, 2764]]"
