GaussianNB,DecisionTree,XGBoost,KNN,RandomForest,AdaBoost
0.7709619531295403,0.7322942087034358,0.9154645422428114,0.8107291555815184,0.9062762656692108,0.8399678559002424
0.7698559213748829,0.7302915761929883,0.9197752479110863,0.8034452754060277,0.9035029596874194,0.8382727697436397
0.7656945397295488,0.7328155484157766,0.9070063571202691,0.8072196749966603,0.9017079317207698,0.8299858562942133
0.7547489265802798,0.7343174680804335,0.906113522484643,0.7973452626510316,0.886139070213612,0.823601927891252
0.7602530772371622,0.7364897948709821,0.9127028893462574,0.8122657326084873,0.901128968105717,0.8344658562338345
0.7788093564418193,0.7462775434101259,0.9189795112993787,0.8181491974518431,0.9091665053137558,0.8445004349995934
0.7658457281293851,0.7468578625781916,0.9153273544319955,0.8117174431023114,0.9050974363896076,0.8349174314900375
0.7663516882634875,0.728684238266766,0.9104218785393892,0.7990294174941657,0.8962219916382261,0.8405837696205781
0.7696119145017888,0.7336070161667699,0.9125182347879904,0.804801651395535,0.8982399731308588,0.8395507494679003
0.7692076094011804,0.7266335305749695,0.910629553036364,0.8028765981855783,0.8944586094464655,0.8441121107370899
